x,BSpline1,f_exact(x)
-0.36000000,0.34000000,0.23584906
-0.35750000,0.34250000,0.23837014
-0.35500000,0.34500000,0.24092757
-0.35250000,0.34750000,0.24352194
-0.35000000,0.35000000,0.24615385
-0.34750000,0.35250000,0.24882392
-0.34500000,0.35500000,0.25153278
-0.34250000,0.35750000,0.25428106
-0.34000000,0.36000000,0.25706941
-0.33750000,0.36250000,0.25989848
-0.33500000,0.36500000,0.26276893
-0.33250000,0.36750000,0.26568143
-0.33000000,0.37000000,0.26863667
-0.32750000,0.37250000,0.27163533
-0.32500000,0.37500000,0.27467811
-0.32250000,0.37750000,0.27776572
-0.32000000,0.38000000,0.28089888
-0.31750000,0.38250000,0.28407830
-0.31500000,0.38500000,0.28730472
-0.31250000,0.38750000,0.29057889
-0.31000000,0.39000000,0.29390154
-0.30750000,0.39250000,0.29727345
-0.30500000,0.39500000,0.30069536
-0.30250000,0.39750000,0.30416805
-0.30000000,0.40000000,0.30769231
-0.29750000,0.40250000,0.31126891
-0.29500000,0.40500000,0.31489864
-0.29250000,0.40750000,0.31858231
-0.29000000,0.41000000,0.32232071
-0.28750000,0.41250000,0.32611465
-0.28500000,0.41500000,0.32996494
-0.28250000,0.41750000,0.33387240
-0.28000000,0.42000000,0.33783784
-0.27750000,0.42250000,0.34186208
-0.27500000,0.42500000,0.34594595
-0.27250000,0.42750000,0.35009026
-0.27000000,0.43000000,0.35429584
-0.26750000,0.43250000,0.35856350
-0.26500000,0.43500000,0.36289408
-0.26250000,0.43750000,0.36728838
-0.26000000,0.44000000,0.37174721
-0.25750000,0.44250000,0.37627139
-0.25500000,0.44500000,0.38086170
-0.25250000,0.44750000,0.38551894
-0.25000000,0.45000000,0.39024390
-0.24750000,0.45250000,0.39503734
-0.24500000,0.45500000,0.39990002
-0.24250000,0.45750000,0.40483269
-0.24000000,0.46000000,0.40983607
-0.23750000,0.46250000,0.41491086
-0.23500000,0.46500000,0.42005776
-0.23250000,0.46750000,0.42527743
-0.23000000,0.47000000,0.43057051
-0.22750000,0.47250000,0.43593761
-0.22500000,0.47500000,0.44137931
-0.22250000,0.47750000,0.44689617
-0.22000000,0.48000000,0.45248869
-0.21750000,0.48250000,0.45815735
-0.21500000,0.48500000,0.46390258
-0.21250000,0.48750000,0.46972477
-0.21000000,0.49000000,0.47562426
-0.20750000,0.49250000,0.48160132
-0.20500000,0.49500000,0.48765620
-0.20250000,0.49750000,0.49378906
-0.20000000,0.50000000,0.50000000
-0.19750000,0.50000000,0.50628906
-0.19500000,0.50000000,0.51265620
-0.19250000,0.50000000,0.51910131
-0.19000000,0.50000000,0.52562418
-0.18750000,0.50000000,0.53222453
-0.18500000,0.50000000,0.53890199
-0.18250000,0.50000000,0.54565607
-0.18000000,0.50000000,0.55248619
-0.17750000,0.50000000,0.55939166
-0.17500000,0.50000000,0.56637168
-0.17250000,0.50000000,0.57342532
-0.17000000,0.50000000,0.58055152
-0.16750000,0.50000000,0.58774910
-0.16500000,0.50000000,0.59501673
-0.16250000,0.50000000,0.60235294
-0.16000000,0.50000000,0.60975610
-0.15750000,0.50000000,0.61722442
-0.15500000,0.50000000,0.62475595
-0.15250000,0.50000000,0.63234858
-0.15000000,0.50000000,0.64000000
-0.14750000,0.50000000,0.64770772
-0.14500000,0.50000000,0.65546907
-0.14250000,0.50000000,0.66328117
-0.14000000,0.50000000,0.67114094
-0.13750000,0.50000000,0.67904509
-0.13500000,0.50000000,0.68699012
-0.13250000,0.50000000,0.69497231
-0.13000000,0.50000000,0.70298770
-0.12750000,0.50000000,0.71103211
-0.12500000,0.50000000,0.71910112
-0.12250000,0.50000000,0.72719009
-0.12000000,0.50000000,0.73529412
-0.11750000,0.50000000,0.74340806
-0.11500000,0.50000000,0.75152654
-0.11250000,0.50000000,0.75964392
-0.11000000,0.50000000,0.76775432
-0.10750000,0.50000000,0.77585162
-0.10500000,0.50000000,0.78392945
-0.10250000,0.50000000,0.79198119
