x,BSpline3_NATURAL,BSpline3_COMPLETE,BSpline3_NOT_A_KNOT,BSpline3_SECOND,f_exact(x)
0.70000000,0.07547170,0.07547170,0.07547170,0.07547170,0.07547170
0.70250000,0.07497569,0.07497569,0.07497569,0.07497569,0.07497569
0.70500000,0.07448440,0.07448441,0.07448441,0.07448441,0.07448443
0.70750000,0.07399778,0.07399779,0.07399779,0.07399779,0.07399785
0.71000000,0.07351578,0.07351579,0.07351579,0.07351579,0.07351590
0.71250000,0.07303835,0.07303836,0.07303836,0.07303836,0.07303852
0.71500000,0.07256543,0.07256545,0.07256545,0.07256545,0.07256565
0.71750000,0.07209698,0.07209700,0.07209700,0.07209700,0.07209724
0.72000000,0.07163294,0.07163296,0.07163296,0.07163296,0.07163324
0.72250000,0.07117326,0.07117329,0.07117329,0.07117329,0.07117359
0.72500000,0.07071789,0.07071793,0.07071792,0.07071793,0.07071823
0.72750000,0.07026679,0.07026682,0.07026682,0.07026682,0.07026712
0.73000000,0.06981989,0.06981992,0.06981992,0.06981992,0.06982021
0.73250000,0.06937714,0.06937718,0.06937718,0.06937718,0.06937745
0.73500000,0.06893851,0.06893854,0.06893854,0.06893854,0.06893877
0.73750000,0.06850393,0.06850396,0.06850396,0.06850396,0.06850415
0.74000000,0.06807335,0.06807338,0.06807338,0.06807338,0.06807352
0.74250000,0.06764672,0.06764675,0.06764674,0.06764675,0.06764684
0.74500000,0.06722400,0.06722401,0.06722401,0.06722401,0.06722407
0.74750000,0.06680512,0.06680513,0.06680513,0.06680513,0.06680515
0.75000000,0.06639004,0.06639004,0.06639004,0.06639004,0.06639004
0.75250000,0.06597871,0.06597870,0.06597870,0.06597870,0.06597870
0.75500000,0.06557109,0.06557107,0.06557107,0.06557107,0.06557108
0.75750000,0.06516714,0.06516710,0.06516710,0.06516710,0.06516714
0.76000000,0.06476682,0.06476676,0.06476677,0.06476676,0.06476684
0.76250000,0.06437008,0.06437002,0.06437002,0.06437002,0.06437013
0.76500000,0.06397691,0.06397683,0.06397683,0.06397682,0.06397697
0.76750000,0.06358724,0.06358715,0.06358715,0.06358715,0.06358732
0.77000000,0.06320105,0.06320094,0.06320095,0.06320094,0.06320114
0.77250000,0.06281829,0.06281817,0.06281818,0.06281817,0.06281839
0.77500000,0.06243893,0.06243880,0.06243881,0.06243880,0.06243902
0.77750000,0.06206292,0.06206279,0.06206280,0.06206279,0.06206301
